"CCG","Cancer Alliance","STP","Year","Site","Stage 1","Stage 2","Stage 3","Stage 4","Staged - other early","Staged - other advanced","Unstageable","Missing stage","Percentage completeness (%)"
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2013,"Bladder",6,5,3,5,NA,NA,NA,10,65.5
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2013,"Breast",78,78,8,14,NA,NA,NA,18,90.8
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2013,"Cervix",3,1,1,NA,NA,NA,NA,10,33.3
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2013,"Colon",6,23,15,22,NA,NA,NA,19,77.6
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2013,"Hodgkin lymphoma",1,1,NA,2,NA,NA,NA,2,66.7
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2013,"Kidney, except renal pelvis",15,6,10,14,NA,NA,NA,13,77.6
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2013,"Larynx including anterior surface of epiglottis",6,NA,2,3,NA,NA,NA,1,91.7
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2013,"Lung",20,14,26,120,NA,NA,2,32,84.1
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2013,"Melanoma of skin",47,6,2,NA,NA,NA,NA,5,91.7
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2013,"Non-Hodgkin lymphoma",8,7,5,12,NA,NA,NA,17,65.3
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2013,"Oesophagus including cardia and gastroesophageal junction",5,2,5,12,NA,NA,NA,27,47.1
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2013,"Oral cavity, hard palate and lip (inner aspect)",7,NA,1,6,NA,NA,NA,1,93.3
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2013,"Oropharynx, base of tongue, tonsil, soft palate and uvula",NA,NA,NA,5,NA,NA,NA,1,83.3
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2013,"Other",5,2,4,9,NA,NA,115,105,8.3
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2013,"Ovary, fallopian tube and primary peritoneal carcinomas",12,1,7,2,NA,NA,NA,7,75.9
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2013,"Pancreas",1,NA,NA,11,NA,NA,NA,43,21.8
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2013,"Prostate",59,25,28,24,NA,NA,NA,23,85.5
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2013,"Rectum and rectosigmoid junction",5,5,8,12,NA,NA,NA,6,83.3
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2013,"Stomach excluding cardia and gastroesophageal junction",NA,6,5,7,NA,NA,NA,9,66.7
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2013,"Testis",NA,1,1,NA,NA,NA,NA,6,25
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2013,"Thyroid",NA,NA,NA,NA,NA,NA,1,7,0
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2013,"Uterus",17,2,2,1,NA,NA,NA,5,81.5
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2019,"Breast",88,50,18,13,NA,NA,NA,31,84.5
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2019,"Cervix",1,NA,NA,1,NA,NA,NA,12,14.3
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2019,"Colon",23,25,30,24,NA,NA,NA,20,83.6
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2014,"Bladder",10,11,4,3,NA,NA,NA,11,71.8
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2014,"Breast",93,73,15,11,NA,NA,NA,22,89.7
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2014,"Cervix",7,1,1,1,NA,NA,NA,19,34.5
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2014,"Colon",11,24,17,19,NA,NA,NA,19,78.9
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2014,"Hodgkin lymphoma",2,2,1,2,NA,NA,NA,1,87.5
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2014,"Kidney, except renal pelvis",16,7,4,10,NA,NA,NA,16,69.8
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2014,"Larynx including anterior surface of epiglottis",3,1,1,3,NA,NA,NA,1,88.9
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2014,"Lung",28,20,34,125,NA,NA,1,32,86.3
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2014,"Melanoma of skin",31,9,2,NA,NA,NA,NA,6,87.5
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2014,"Non-Hodgkin lymphoma",8,6,6,12,NA,NA,NA,12,72.7
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2014,"Oesophagus including cardia and gastroesophageal junction",8,8,8,14,NA,NA,NA,13,74.5
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2014,"Oral cavity, hard palate and lip (inner aspect)",2,NA,1,3,NA,NA,NA,1,85.7
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2014,"Oropharynx, base of tongue, tonsil, soft palate and uvula",NA,1,1,11,NA,NA,NA,NA,100
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2014,"Other",9,6,5,13,1,NA,94,84,16
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2014,"Ovary, fallopian tube and primary peritoneal carcinomas",4,2,8,9,NA,NA,2,4,79.3
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2014,"Pancreas",2,1,NA,21,NA,NA,NA,15,61.5
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2014,"Prostate",37,15,36,42,NA,NA,NA,22,85.5
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2014,"Rectum and rectosigmoid junction",7,10,11,8,NA,NA,NA,6,85.7
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2014,"Stomach excluding cardia and gastroesophageal junction",2,6,NA,3,NA,NA,NA,9,55
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2014,"Testis",6,5,NA,1,NA,NA,1,1,85.7
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2014,"Thyroid",6,1,1,1,NA,NA,1,5,60
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2014,"Uterus",19,3,NA,1,NA,NA,NA,6,79.3
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2016,"Pancreas",1,6,1,20,NA,NA,NA,13,68.3
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2016,"Prostate",27,26,17,42,NA,NA,NA,17,86.8
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2015,"Bladder",17,9,3,3,NA,NA,NA,8,80
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2015,"Breast",67,88,22,9,NA,NA,NA,20,90.3
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2015,"Cervix",3,NA,NA,1,NA,NA,NA,8,33.3
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2015,"Colon",17,30,15,23,NA,NA,NA,15,85
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2015,"Hodgkin lymphoma",1,NA,NA,3,NA,NA,NA,NA,100
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2015,"Kidney, except renal pelvis",19,1,6,12,NA,NA,NA,5,88.4
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2015,"Larynx including anterior surface of epiglottis",9,NA,6,4,NA,NA,NA,2,90.5
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2015,"Lung",27,15,47,106,NA,NA,NA,19,91.1
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2015,"Melanoma of skin",40,20,2,NA,NA,NA,NA,3,95.4
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2015,"Non-Hodgkin lymphoma",4,10,12,16,NA,NA,NA,6,87.5
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2015,"Oesophagus including cardia and gastroesophageal junction",10,4,12,18,NA,NA,NA,10,81.5
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2015,"Oral cavity, hard palate and lip (inner aspect)",4,NA,NA,5,NA,NA,NA,1,90
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2015,"Oropharynx, base of tongue, tonsil, soft palate and uvula",NA,1,1,12,NA,NA,NA,NA,100
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2015,"Other",16,6,14,25,NA,1,92,80,26.5
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2015,"Ovary, fallopian tube and primary peritoneal carcinomas",7,1,10,5,NA,NA,NA,7,76.7
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2015,"Pancreas",5,1,NA,16,NA,NA,NA,14,61.1
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2015,"Prostate",27,24,26,44,NA,NA,NA,15,89
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2015,"Rectum and rectosigmoid junction",21,13,17,12,NA,NA,NA,7,90
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2015,"Stomach excluding cardia and gastroesophageal junction",6,4,1,3,NA,NA,NA,7,66.7
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2015,"Testis",5,1,NA,NA,NA,NA,NA,2,75
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2015,"Thyroid",6,2,3,4,NA,NA,NA,3,83.3
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2015,"Uterus",19,2,1,1,NA,NA,NA,3,88.5
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2017,"Pancreas",6,3,1,17,NA,NA,NA,8,77.1
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2016,"Bladder",21,8,3,8,NA,NA,NA,10,80
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2016,"Breast",83,93,13,11,NA,NA,NA,25,88.9
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2016,"Cervix",2,NA,NA,2,NA,NA,NA,7,36.4
